Date,Close
4/2/18,61.04
4/3/18,62.58
4/4/18,64.28
4/5/18,64.66
4/6/18,63.38
4/9/18,63.31
4/10/18,63.97
4/11/18,63.07
4/12/18,64
4/13/18,63.43
4/16/18,66.1
4/17/18,67.11
4/18/18,66.61
4/19/18,65.86
4/20/18,65.12
4/23/18,65.68
4/24/18,66.6
4/25/18,67.73
4/26/18,68.69
4/27/18,69.95
4/30/18,69.83
5/1/18,68
5/2/18,65.94
5/3/18,62.27
5/4/18,63.1
5/7/18,61.75
5/8/18,60.71
5/9/18,61.21
5/10/18,62.44
5/11/18,64.41
5/14/18,66.82
5/15/18,65.84
5/16/18,66.13
5/17/18,65.76
5/18/18,64.92
5/21/18,65.5
5/22/18,65.62
5/23/18,65.57
5/24/18,65.12
5/25/18,66.03
5/29/18,64.8
5/30/18,65.99
5/31/18,65.99
6/1/18,64.07
6/4/18,64.1
6/5/18,63.33
6/6/18,65.08
6/7/18,65.02
6/8/18,66.03
6/11/18,66.94
6/12/18,66.35
6/13/18,68.41
6/14/18,69.12
6/15/18,70.09
6/18/18,67.74
6/19/18,70.77
6/20/18,71.6
6/21/18,71.08
6/22/18,72.18
6/25/18,71.43
6/26/18,69.81
6/27/18,70.05
6/28/18,65.78
6/29/18,64.35
7/2/18,65.17
7/3/18,64.5
7/5/18,65.09
7/6/18,66.48
7/9/18,67.64
7/10/18,68.24
7/11/18,67.3
7/12/18,67.99
7/13/18,68.63
7/16/18,68.24
7/17/18,67.94
7/18/18,67.9
7/19/18,66.14
7/20/18,65.26
7/23/18,66.34
7/24/18,65.58
7/25/18,65.99
7/26/18,66.34
7/27/18,66.67
7/30/18,67.43
7/31/18,64.86
8/1/18,64.09
8/2/18,63.78
8/3/18,64.89
8/6/18,65.04
8/7/18,65.45
8/8/18,68.17
8/9/18,68.57
8/10/18,69.05
8/13/18,69.5
8/14/18,71.38
8/15/18,71.64
8/16/18,73.2
8/17/18,73.68
8/20/18,74.62
8/21/18,73.69
8/22/18,73.91
8/23/18,73.64
8/24/18,74.08
8/27/18,74.96
8/28/18,74.92
8/29/18,74.45
8/30/18,74.53
8/31/18,75.24
9/4/18,74
9/5/18,74.89
9/6/18,76.07
9/7/18,77.29
9/10/18,75.64
9/11/18,75.73
9/12/18,77.32
9/13/18,77.08
9/14/18,76.91
9/17/18,78.1
9/18/18,78.61
9/19/18,78.96
9/20/18,79.39
9/21/18,79.59
9/24/18,78.74
9/25/18,77.61
9/26/18,78.43
9/27/18,78.76
9/28/18,78.72
10/1/18,79.5
10/2/18,79.24
10/3/18,79.9
10/4/18,79.39
10/5/18,78.67
10/8/18,79.8
10/9/18,79.49
10/10/18,78.92
10/11/18,73.19
10/12/18,74.58
10/15/18,73.06
10/16/18,73.72
10/17/18,74.36
10/18/18,74.53
10/19/18,74.18
10/22/18,72.84
10/23/18,72.45
10/24/18,69.81
10/25/18,70.67
10/26/18,70.12
10/29/18,70.54
10/30/18,72.39
10/31/18,72.39
11/1/18,74.41
11/2/18,73.09
11/5/18,73.69
11/6/18,77.9
11/7/18,78.77
11/8/18,80.05
11/9/18,79.83
11/12/18,80.34
11/13/18,80.8
11/14/18,79.92
11/15/18,79.84
11/16/18,79.33
11/19/18,78.55
11/20/18,75.52
11/21/18,75.09
11/23/18,75.18
11/26/18,77.84
11/27/18,79.5
11/28/18,80.27
11/29/18,80
11/30/18,80.2
12/3/18,79.52
12/4/18,78.91
12/6/18,76.57
12/7/18,74.09
12/10/18,73.34
12/11/18,73.41
12/12/18,74.5
12/13/18,73.37
12/14/18,71.88
12/17/18,70.69
12/18/18,69.56
12/19/18,68.59
12/20/18,66.48
12/21/18,63.7
12/24/18,62.92
12/26/18,65.41
12/27/18,65.24
12/28/18,65.19
12/31/18,65.52
1/2/19,65.58
1/3/19,65.23
1/4/19,66.82
1/7/19,68.61
1/8/19,68.53
1/9/19,66.04
1/10/19,65.55
1/11/19,65.81
1/14/19,65.34
1/15/19,63.74
1/16/19,63.92
1/17/19,63.37
1/18/19,65.52
1/22/19,64.92
1/23/19,66.11
1/24/19,64.98
1/25/19,65.45
1/28/19,65.24
1/29/19,65.54
1/30/19,65.96
1/31/19,65.55
2/1/19,65.22
2/4/19,65.91
2/5/19,65.67
2/6/19,66.03
2/7/19,65.75
2/8/19,65.01
2/11/19,65.1
2/12/19,67.01
2/13/19,67.79
2/14/19,67.69
2/15/19,69.53
2/19/19,69.88
2/20/19,64.22
2/21/19,62.35
2/22/19,61.95
2/25/19,61.23
2/26/19,60.68
2/27/19,58.5
2/28/19,57.83
3/1/19,58.13
3/4/19,55.96
3/5/19,54.96
3/6/19,54
3/7/19,52.36
3/8/19,52.93
3/11/19,53.75
3/12/19,54.65
3/13/19,56.57
3/14/19,55.88
3/15/19,55.6
3/18/19,56.67
3/19/19,57.09
3/20/19,56.16
3/21/19,57.4
3/22/19,56.04
3/25/19,54.95
3/26/19,55.39
3/27/19,54.05
3/28/19,53.36
3/29/19,53.93
4/1/19,54.19
4/2/19,52.13
4/3/19,52.79
4/4/19,53.4
4/5/19,54.06
4/8/19,54.15
4/9/19,53.72
4/10/19,53.87
4/11/19,52.69
4/12/19,52.81
4/15/19,54.22
4/16/19,53.9
4/17/19,52.54
4/18/19,52.63
4/22/19,52.43
4/23/19,52.96
4/24/19,52.93
4/25/19,53.23
4/26/19,53.53
4/29/19,53.99
4/30/19,54.38
5/1/19,57.33
5/2/19,56.73
5/3/19,56.66
5/6/19,56.6
5/7/19,55.35
5/8/19,55.74
5/9/19,55.35
5/10/19,55.16
5/13/19,53.82
5/14/19,52.97
5/15/19,52.79
5/16/19,52.3
5/17/19,52.88
5/20/19,53
5/21/19,53.52
5/22/19,53.71
5/23/19,52.79
5/24/19,53.07
5/28/19,52.7
5/29/19,52.52
5/30/19,52.75
5/31/19,52.37
6/3/19,53.39
6/4/19,54.62
6/5/19,53.17
6/6/19,54.11
6/7/19,53.92
6/10/19,55.03
6/11/19,53.97
6/12/19,53.66
6/13/19,54.59
6/14/19,54.17
6/17/19,54.54
6/18/19,54.66
6/19/19,54.89
6/20/19,53.87
6/21/19,53.65
6/24/19,53.14
6/25/19,53.68
6/26/19,53.7
6/27/19,54.74
6/28/19,54.49
7/1/19,54.93
7/2/19,54.8
7/3/19,55.2
7/5/19,55.57
7/8/19,55.31
7/9/19,54.83
7/10/19,55.38
7/11/19,57.97
7/12/19,57.55
7/15/19,57.44
7/16/19,57.38
7/17/19,56.23
7/18/19,56.5
7/19/19,55.94
7/22/19,55.48
7/23/19,56.27
7/24/19,55.99
7/25/19,55.44
7/26/19,55.54
7/29/19,56.26
7/30/19,56.53
7/31/19,55.87
8/1/19,55.37
8/2/19,55.71
8/5/19,54.51
8/6/19,54.09
8/7/19,58.12
8/8/19,59.04
8/9/19,59.29
8/12/19,58.75
8/13/19,59.85
8/14/19,58.56
8/15/19,58.84
8/16/19,60.28
8/19/19,61.39
8/20/19,61.56
8/21/19,61.65
8/22/19,62.05
8/23/19,60.24
8/26/19,60.76
8/27/19,59.19
8/28/19,59.48
8/29/19,60.15
8/30/19,60.92
9/3/19,60.69
9/4/19,61.66
9/5/19,62.76
9/6/19,62.23
9/9/19,63.68
9/10/19,63.6
9/11/19,63.99
9/12/19,63.9
9/13/19,64.06
9/16/19,63.43
9/17/19,63.48
9/18/19,63.26
9/19/19,63.63
9/20/19,64.3
9/23/19,63.35
9/24/19,62.93
9/25/19,62.59
9/26/19,61.59
9/27/19,62.08
9/30/19,63.07
10/1/19,62.35
10/2/19,61.5
10/3/19,61.22
10/4/19,62.24
10/7/19,61.99
10/8/19,60.38
10/9/19,60.8
10/10/19,62.14
10/11/19,62.94
10/14/19,62.99
10/15/19,64.83
10/16/19,65.41
10/17/19,66.5
10/18/19,66.16
10/21/19,65.7
10/22/19,66.56
10/23/19,65.6
10/24/19,64.84
10/25/19,65.1
10/28/19,65.88
10/29/19,65.89
10/30/19,67.05
10/31/19,66.39
11/1/19,67.24
11/4/19,68.04
11/5/19,67.32
11/6/19,70.93
11/7/19,71.78
11/8/19,72.47
11/11/19,71.73
11/12/19,72.35
11/13/19,72.82
11/14/19,72.94
11/15/19,74.29
11/18/19,75.1
11/19/19,75.35
11/20/19,74.92
11/21/19,74.94
11/22/19,75.31
11/25/19,76.58
11/26/19,74.94
11/27/19,75.04
11/29/19,75.27
12/2/19,75.55
12/3/19,74.71
12/4/19,75
12/5/19,74.48
12/6/19,75.36
12/9/19,74.99
12/10/19,73.18
12/11/19,73.35
12/12/19,74.26
12/13/19,73.59
12/16/19,74.4
12/17/19,73.35
12/18/19,73.28
12/19/19,74.1
12/20/19,74.58
12/23/19,74.38
12/24/19,74.51
12/26/19,74.48
12/27/19,74.4
12/30/19,73.7
12/31/19,74.29
1/2/20,74.16
1/3/20,73.57
1/6/20,73.86
1/7/20,73.58
1/8/20,72.66
1/9/20,72.86
1/10/20,72.11
1/13/20,72.76
1/14/20,73.83
1/15/20,75.27
1/16/20,76.05
1/17/20,76.02
1/21/20,74.59
1/22/20,74.01
1/23/20,73.53
1/24/20,71.43
1/27/20,70.97
1/28/20,71.82
1/29/20,70.55
1/30/20,69.71
