Date,Close
4/2/18,56.24
4/3/18,58
4/4/18,58.83
4/5/18,59.14
4/6/18,58.34
4/9/18,58.7
4/10/18,59.41
4/11/18,59.42
4/12/18,59.43
4/13/18,59.24
4/16/18,59.43
4/17/18,59.83
4/18/18,59.5
4/19/18,59.22
4/20/18,58
4/23/18,58.16
4/24/18,57.81
4/25/18,57.71
4/26/18,59.38
4/27/18,58.36
4/30/18,57.57
5/1/18,58.13
5/2/18,56.7
5/3/18,56.13
5/4/18,57.68
5/7/18,57.45
5/8/18,57.67
5/9/18,57.04
5/10/18,57.65
5/11/18,57.27
5/14/18,57.13
5/15/18,56.64
5/16/18,57.15
5/17/18,57.2
5/18/18,57.2
5/21/18,57.34
5/22/18,56.96
5/23/18,57.49
5/24/18,57.68
5/25/18,57.92
5/29/18,57.23
5/30/18,57.48
5/31/18,56.67
6/1/18,56.91
6/4/18,57.07
6/5/18,55.68
6/6/18,57.17
6/7/18,57.14
6/8/18,56.6
6/11/18,56.48
6/12/18,56.48
6/13/18,56.21
6/14/18,57.02
6/15/18,57.11
6/18/18,57.22
6/19/18,57.43
6/20/18,52.22
6/21/18,50.62
6/22/18,51.24
6/25/18,50.66
6/26/18,50.38
6/27/18,49.84
6/28/18,48.54
6/29/18,48.85
7/2/18,49.06
7/3/18,48.77
7/5/18,48.61
7/6/18,48.98
7/9/18,49.9
7/10/18,50.42
7/11/18,50.14
7/12/18,50.25
7/13/18,51.62
7/16/18,50.94
7/17/18,51.28
7/18/18,51.15
7/19/18,51.34
7/20/18,50.91
7/23/18,51.19
7/24/18,51.17
7/25/18,51.62
7/26/18,51.45
7/27/18,52.15
7/30/18,51.9
7/31/18,52.39
8/1/18,51.93
8/2/18,51.68
8/3/18,52.23
8/6/18,52.07
8/7/18,52.07
8/8/18,51.55
8/9/18,51.92
8/10/18,51.51
8/13/18,51.81
8/14/18,52.59
8/15/18,52.75
8/16/18,53.04
8/17/18,53.56
8/20/18,53.92
8/21/18,54
8/22/18,52.82
8/23/18,52.66
8/24/18,52.75
8/27/18,52.97
8/28/18,53.05
8/29/18,53.25
8/30/18,53.1
8/31/18,53.45
9/4/18,53.53
9/5/18,53.79
9/6/18,54.21
9/7/18,54.86
9/10/18,54.97
9/11/18,55.12
9/12/18,54.97
9/13/18,54.89
9/14/18,54.75
9/17/18,54.57
9/18/18,55.07
9/19/18,55.43
9/20/18,56.43
9/21/18,57.45
9/24/18,56.69
9/25/18,56.9
9/26/18,57.27
9/27/18,57.34
9/28/18,56.84
10/1/18,55.58
10/2/18,55.59
10/3/18,55.47
10/4/18,55.89
10/5/18,55.76
10/8/18,56.54
10/9/18,57.71
10/10/18,56.01
10/11/18,54.86
10/12/18,56.45
10/15/18,56.75
10/16/18,57.81
10/17/18,59.1
10/18/18,58.64
10/19/18,58.66
10/22/18,58.9
10/23/18,58.81
10/24/18,58.06
10/25/18,58.96
10/26/18,58.07
10/29/18,58.37
10/30/18,58.59
10/31/18,58.27
11/1/18,58.63
11/2/18,64.32
11/5/18,64.48
11/6/18,66.01
11/7/18,68.16
11/8/18,68.72
11/9/18,68.6
11/12/18,67.91
11/13/18,67.41
11/14/18,67.04
11/15/18,67.62
11/16/18,68.16
11/19/18,67.91
11/20/18,67.18
11/21/18,66.77
11/23/18,65.7
11/26/18,65.69
11/27/18,66.08
11/28/18,66.82
11/29/18,66.88
11/30/18,66.72
12/3/18,67.5
12/4/18,66.65
12/6/18,66.55
12/7/18,65.47
12/10/18,65.49
12/11/18,65.92
12/12/18,66.13
12/13/18,66.91
12/14/18,65.34
12/17/18,64.47
12/18/18,64.92
12/19/18,64.06
12/20/18,62.15
12/21/18,61.39
12/24/18,60.56
12/26/18,63.08
12/27/18,63.2
12/28/18,63.39
12/31/18,64.4
1/2/19,64.32
1/3/19,61.53
1/4/19,63.57
1/7/19,63.57
1/8/19,63.62
1/9/19,63.88
1/10/19,64.19
1/11/19,63.73
1/14/19,63.37
1/15/19,64.08
1/16/19,63.77
1/17/19,64.28
1/18/19,64.7
1/22/19,65.39
1/23/19,66.43
1/24/19,64.74
1/25/19,67.09
1/28/19,66.9
1/29/19,67.04
1/30/19,68.15
1/31/19,68.14
2/1/19,68.11
2/4/19,67.58
2/5/19,69.34
2/6/19,68.85
2/7/19,69.14
2/8/19,69.75
2/11/19,69.99
2/12/19,69.75
2/13/19,70.51
2/14/19,70.84
2/15/19,70.71
2/19/19,70.2
2/20/19,70.39
2/21/19,70.7
2/22/19,71.3
2/25/19,71.05
2/26/19,71.14
2/27/19,70.15
2/28/19,70.26
3/1/19,70.85
3/4/19,70.95
3/5/19,71.58
3/6/19,71.27
3/7/19,70.61
3/8/19,69.36
3/11/19,69.68
3/12/19,70.05
3/13/19,70.1
3/14/19,70.74
3/15/19,70.67
3/18/19,70.84
3/19/19,71.38
3/20/19,71.63
3/21/19,72.26
3/22/19,71.96
3/25/19,72.3
3/26/19,72.96
3/27/19,72.74
3/28/19,73.96
3/29/19,74.34
4/1/19,73.96
4/2/19,74.27
4/3/19,74.33
4/4/19,74.35
4/5/19,75.03
4/8/19,75.2
4/9/19,75.12
4/10/19,75.48
4/11/19,75.87
4/12/19,76.65
4/15/19,76.16
4/16/19,75.7
4/17/19,75.12
4/18/19,76.06
4/22/19,75.4
4/23/19,75.99
4/24/19,76.39
4/25/19,77.11
4/26/19,77.45
4/29/19,76.91
4/30/19,77.68
5/1/19,77.52
5/2/19,77.47
5/3/19,78.05
5/6/19,78.06
5/7/19,77.96
5/8/19,78.05
5/9/19,77.9
5/10/19,78.42
5/13/19,76.68
5/14/19,77.06
5/15/19,77.76
5/16/19,78.9
5/17/19,78.91
5/20/19,76.66
5/21/19,77.53
5/22/19,77.25
5/23/19,76.41
5/24/19,76.15
5/28/19,75.7
5/29/19,75.28
5/30/19,76.17
5/31/19,76.06
6/3/19,76.22
6/4/19,78.52
6/5/19,79.96
6/6/19,81.4
6/7/19,82.48
6/10/19,81.93
6/11/19,82.37
6/12/19,82.93
6/13/19,83.35
6/14/19,84.24
6/17/19,83.02
6/18/19,82.92
6/19/19,83.81
6/20/19,84.69
6/21/19,83.82
6/24/19,83.65
6/25/19,84.25
6/26/19,83.38
6/27/19,83.56
6/28/19,83.83
7/1/19,84.55
7/2/19,85.51
7/3/19,87.79
7/5/19,87.79
7/8/19,87.44
7/9/19,87.23
7/10/19,88.38
7/11/19,89.07
7/12/19,89.77
7/15/19,90.16
7/16/19,90.08
7/17/19,90.25
7/18/19,91.5
7/19/19,90.3
7/22/19,90.92
7/23/19,90.11
7/24/19,90.65
7/25/19,90.98
7/26/19,99.11
7/29/19,98.02
7/30/19,96.65
7/31/19,94.69
8/1/19,95.38
8/2/19,95.51
8/5/19,93.7
8/6/19,95.34
8/7/19,95.22
8/8/19,96.27
8/9/19,96.3
8/12/19,94.91
8/13/19,96.63
8/14/19,94.92
8/15/19,95.53
8/16/19,96.52
8/19/19,96.66
8/20/19,95.63
8/21/19,96.32
8/22/19,96.49
8/23/19,94.7
8/26/19,96.5
8/27/19,96.09
8/28/19,97.07
8/29/19,97.7
8/30/19,96.56
9/3/19,96.77
9/4/19,96.11
9/5/19,95.56
9/6/19,95.74
9/9/19,94.16
9/10/19,90.35
9/11/19,90.98
9/12/19,92.06
9/13/19,90.48
9/16/19,89.42
9/17/19,90.75
9/18/19,90.96
9/19/19,91.56
9/20/19,90.07
9/23/19,90.81
9/24/19,89.92
9/25/19,90.35
9/26/19,89.8
9/27/19,88.37
9/30/19,88.42
10/1/19,86.51
10/2/19,84.32
10/3/19,84.67
10/4/19,85.92
10/7/19,85.85
10/8/19,84.91
10/9/19,85.85
10/10/19,85.96
10/11/19,86.36
10/14/19,86.62
10/15/19,86.45
10/16/19,86.71
10/17/19,86.29
10/18/19,86.03
10/21/19,85.35
10/22/19,83.46
10/23/19,82.74
10/24/19,83.18
10/25/19,83.38
10/28/19,83.6
10/29/19,84.13
10/30/19,84.19
10/31/19,84.56
11/1/19,83.21
11/4/19,82.37
11/5/19,81.89
11/6/19,82.99
11/7/19,81.95
11/8/19,81.77
11/11/19,82.43
11/12/19,83.32
11/13/19,83.94
11/14/19,84.38
11/15/19,84.21
11/18/19,84.02
11/19/19,83.66
11/20/19,83.6
11/21/19,82.3
11/22/19,83.02
11/25/19,83.75
11/26/19,84.56
11/27/19,85.77
11/29/19,85.43
12/2/19,84.57
12/3/19,84.82
12/4/19,85.4
12/5/19,84.45
12/6/19,86.32
12/9/19,86.28
12/10/19,86.04
12/11/19,86.59
12/12/19,88.21
12/13/19,88.67
12/16/19,88.78
12/17/19,88.13
12/18/19,87.99
12/19/19,88.52
12/20/19,88.46
12/23/19,88.23
12/24/19,88.52
12/26/19,88.08
12/27/19,88.13
12/30/19,87.44
12/31/19,87.92
1/2/20,89.35
1/3/20,88.83
1/6/20,88.13
1/7/20,87.86
1/8/20,88.88
1/9/20,90.53
1/10/20,90.16
1/13/20,91.08
1/14/20,90.99
1/15/20,91.54
1/16/20,92.58
1/17/20,93.62
1/21/20,92.53
1/22/20,92.53
1/23/20,93.75
1/24/20,92.03
1/27/20,88.73
1/28/20,88.6
1/29/20,86.72
1/30/20,85.84
1/31/20,84.83
2/3/20,86.01
2/4/20,88.38
2/5/20,87.56
2/6/20,86.15
2/7/20,86.42
2/10/20,87.53
2/11/20,87.51
2/12/20,88.57
2/13/20,89.93
2/14/20,89.28
2/18/20,89.23
2/19/20,90.14
2/20/20,88.6
2/21/20,87.36
2/24/20,84.52
2/25/20,82.19
2/26/20,80.67
2/27/20,78.29
2/28/20,78.43
3/2/20,82.38
3/3/20,78.6
3/4/20,79.67
3/5/20,76.19
3/6/20,75.34
3/9/20,70.83
3/10/20,74.87
3/11/20,68.3
3/12/20,62.1
3/13/20,69.92
3/16/20,58.59
3/17/20,58.98
3/18/20,56.33
3/19/20,61.41
3/20/20,58.03
3/23/20,56.55
3/24/20,64.88
3/25/20,65.81
3/26/20,69.9
3/27/20,66.34
3/30/20,67.86
3/31/20,65.74
4/1/20,62.62
4/2/20,65
4/3/20,63.05
4/6/20,67.79
4/7/20,68.71
4/8/20,71.57
4/9/20,73.88
4/13/20,71.76
4/14/20,73.67
4/15/20,72.55
4/16/20,73.51
4/17/20,77.1
4/20/20,75.32
4/21/20,72.72
4/22/20,77.45
4/23/20,75.15
4/24/20,75.58
4/27/20,77.74
4/28/20,78.69
4/29/20,76.86
4/30/20,76.73
5/1/20,73.79
5/4/20,71.89
5/5/20,72.9
5/6/20,72.96
5/7/20,76
5/8/20,77.87
5/11/20,75.87
5/12/20,74.35
5/13/20,73.62
5/14/20,74.19
5/15/20,74.16
5/18/20,76.23
5/19/20,75.86
5/20/20,77.76
5/21/20,78.05
5/22/20,77.62
5/26/20,77.76
5/27/20,78.6
5/28/20,78.54
5/29/20,77.99
6/1/20,78.32
6/2/20,77.78
6/3/20,79.58
6/4/20,78.74
6/5/20,82.14
6/8/20,83.56
6/9/20,82.37
6/10/20,79.01
6/11/20,72.57
6/12/20,76.38
6/15/20,76.96
6/16/20,77.84
6/17/20,77.1
6/18/20,76.31
6/19/20,75.4
6/22/20,75.4
6/23/20,75.49
6/24/20,73.64
6/25/20,73.85
6/26/20,71.57
6/29/20,73.48
6/30/20,73.59
7/1/20,74.03
7/2/20,73.78
7/6/20,75.44
7/7/20,74.25
7/8/20,74.14
7/9/20,73.57
7/10/20,74.29
7/13/20,72.65
7/14/20,72.73
7/15/20,75.61
7/16/20,74.39
7/17/20,74.16
7/20/20,74.96
7/21/20,75.44
7/22/20,77.24
7/23/20,75.36
7/24/20,75.78
7/27/20,76.46
7/28/20,74.64
7/29/20,77.42
7/30/20,76.64
7/31/20,76.53
8/3/20,75.5
8/4/20,75.13
8/5/20,75.78
8/6/20,75.66
8/7/20,75.79
8/10/20,77.47
8/11/20,78.87
8/12/20,79.29
8/13/20,79.02
8/14/20,78.37
8/17/20,78.95
8/18/20,78.99
8/19/20,77.63
8/20/20,77.22
8/21/20,77.07
8/24/20,78.68
8/25/20,82.72
8/26/20,82.41
8/27/20,83.41
8/28/20,85
8/31/20,84.47
9/1/20,86.05
9/2/20,88.35
9/3/20,86.48
9/4/20,86.27
9/8/20,85.41
9/9/20,85.86
9/10/20,84.88
9/11/20,85.27
9/14/20,86.63
9/15/20,87.71
9/16/20,88.38
9/17/20,86.75
9/18/20,84.95
9/21/20,83.89
9/22/20,83.95
9/23/20,82.99
9/24/20,83.04
9/25/20,84.3
9/28/20,86.07
9/29/20,84.8
9/30/20,85.92
