Date,Close
4/2/18,311.16
4/3/18,316.66
4/4/18,325.84
4/5/18,327.71
4/6/18,318.07
4/9/18,317.1
4/10/18,321.77
4/11/18,321.75
4/12/18,325.08
4/13/18,318.36
4/16/18,326.6
4/17/18,334.61
4/18/18,339.36
4/19/18,338.46
4/20/18,331.95
4/23/18,330.71
4/24/18,333.1
4/25/18,339.52
4/26/18,422.5
4/27/18,427.35
4/30/18,423.33
5/1/18,426.01
5/2/18,421.22
5/3/18,419.42
5/4/18,420.41
5/7/18,419.62
5/8/18,424.42
5/9/18,424.69
5/10/18,422.67
5/11/18,424.9
5/14/18,425.06
5/15/18,426.56
5/16/18,444.67
5/17/18,438.58
5/18/18,438.58
5/21/18,433.86
5/22/18,433.44
5/23/18,435.51
5/24/18,433.43
5/25/18,428.96
5/29/18,433.01
5/30/18,436.61
5/31/18,430.18
6/1/18,438.62
6/4/18,443.83
6/5/18,453.34
6/6/18,453.82
6/7/18,448.28
6/8/18,453.38
6/11/18,466.64
6/12/18,466.3
6/13/18,457.3
6/14/18,460.44
6/15/18,462.01
6/18/18,468.46
6/19/18,469.22
6/20/18,465.5
6/21/18,463.16
6/22/18,469.94
6/25/18,454.17
6/26/18,461.7
6/27/18,457.24
6/28/18,428.36
6/29/18,431.37
7/2/18,442.82
7/3/18,448.95
7/5/18,448.02
7/6/18,451.04
7/9/18,463.89
7/10/18,454.21
7/11/18,457.18
7/12/18,459.05
7/13/18,457.21
7/16/18,452.06
7/17/18,452.54
7/18/18,453.58
7/19/18,454.83
7/20/18,451.19
7/23/18,456.59
7/24/18,449.48
7/25/18,451.63
7/26/18,446.76
7/27/18,472.3
7/30/18,465.47
7/31/18,433.66
8/1/18,442.63
8/2/18,460.38
8/3/18,463.27
8/6/18,475.25
8/7/18,478.02
8/8/18,487.57
8/9/18,487.68
8/10/18,485.47
8/13/18,484.66
8/14/18,493.32
8/15/18,525.89
8/16/18,502.7
8/17/18,510.44
8/20/18,515.75
8/21/18,518.9
8/22/18,523.58
8/23/18,518.04
8/24/18,520.71
8/27/18,495.6
8/28/18,494.09
8/29/18,487.65
8/30/18,483.99
8/31/18,475.18
9/4/18,477.49
9/5/18,477.88
9/6/18,481.05
9/7/18,482.03
9/10/18,489.12
9/11/18,488.23
9/12/18,494.77
9/13/18,495.94
9/14/18,491.56
9/17/18,488.32
9/18/18,491.49
9/19/18,490.6
9/20/18,480.1
9/21/18,467.37
9/24/18,465.89
9/25/18,465.62
9/26/18,467.91
9/27/18,465.4
9/28/18,454.52
10/1/18,446.97
10/2/18,436.37
10/3/18,436.44
10/4/18,447.77
10/5/18,449.36
10/8/18,448.56
10/9/18,447.09
10/10/18,434.21
10/11/18,433.93
10/12/18,435.71
10/15/18,431.74
10/16/18,433.95
10/17/18,429.85
10/18/18,431.73
10/19/18,428.54
10/22/18,431.19
10/23/18,434.29
10/24/18,413
10/25/18,423.88
10/26/18,438.38
10/29/18,440.87
10/30/18,461.77
10/31/18,460.33
11/1/18,472.62
11/2/18,476.39
11/5/18,469.65
11/6/18,474.15
11/7/18,477.49
11/8/18,478.3
11/9/18,490.76
11/12/18,489.67
11/13/18,484.82
11/14/18,479.32
11/15/18,472.3
11/16/18,472.76
11/19/18,465.87
11/20/18,461.63
11/21/18,471.26
11/23/18,471.42
11/26/18,466.02
11/27/18,473.45
11/28/18,490.52
11/29/18,482.56
11/30/18,473.21
12/3/18,475.38
12/4/18,468.35
12/6/18,469.94
12/7/18,467.43
12/10/18,475.15
12/11/18,472.35
12/12/18,471.31
12/13/18,472.73
12/14/18,457.83
12/17/18,443.5
12/18/18,443.8
12/19/18,427.05
12/20/18,400.77
12/21/18,394.42
12/24/18,385.84
